feature 2;cg12045430;WASH5P
feature 34173;cg04869770;PBX1
feature 34174;cg24477315;PBX1
feature 296314;cg16476427;SLN
feature 1407;cg17271960;MIB2
feature 230786;cg25368103;null
feature 132480;cg01021224;AGXT2
feature 1410;cg10600968;MIB2
feature 116098;cg15924566;IGFBP7
feature 378243;cg26639730;null
feature 411022;cg00515242;CACNG5
feature 411023;cg16375358;CACNG5
feature 148872;cg25595084;null
feature 214413;cg01704862;TMUB1
feature 345482;cg16094511;C14orf181
feature 99726;cg10952649;GRK7
feature 329108;cg06679777;KATNAL1
feature 394644;cg06195280;XAF1
feature 460177;cg10436333;NKAIN4
feature 34205;cg05341781;PBX1
feature 411032;cg22285671;null
feature 1441;cg24535439;MMP23B
feature 443815;cg25574111;IGFL4
feature 361890;cg27447131;MEGF11
feature 148906;cg17156565;MSX2
feature 165291;cg23088456;SKIV2L
feature 329135;cg14150115;null
feature 230825;cg03272066;null
feature 230834;cg21074058;null
feature 165307;cg02105247;SKIV2L
feature 460221;cg18857588;ARFGAP1
feature 460220;cg17062171;ARFGAP1
feature 165308;cg06336221;SKIV2L
feature 345531;cg00739471;ACTN1
feature 361915;cg11970177;MEGF11
feature 427449;cg05345154;AMH
feature 427463;cg18128164;JSRP1
feature 214466;cg23955575;AGAP3
feature 198082;cg07648698;AMPH
feature 1474;cg25283841;null
feature 165318;cg25282037;SKIV2L
feature 329152;cg08542640;null
feature 378307;cg01161629;null
feature 34248;cg26070020;LMX1A
feature 181707;cg11812071;TNFAIP3
feature 329167;cg11047295;HMGB1
feature 394698;cg07391831;ALOX12P2
feature 361928;cg10081086;MEGF11
feature 476617;cg10860619;JADE3
feature 394710;cg14375499;ALOX12
feature 361943;cg23023820;MEGF11
feature 361937;cg02593958;MEGF11
feature 132567;cg27638727;UGT3A2
feature 460240;cg09966455;COL20A1
feature 165351;cg23945481;STK19
feature 411105;cg18147309;PSMD12
feature 34280;cg03887163;LMX1A
feature 148970;cg05898591;null
feature 83432;cg09645699;IQSEC1
feature 427500;cg07352691;C19orf35
feature 214504;cg22431967;ASB10
feature 427498;cg10627703;C19orf35
feature 280041;cg03198203;PLEKHA7
feature 394729;cg20216752;ALOX12
feature 17903;cg18891020;DPH2
feature 296436;cg06750635;ATM
feature 1521;cg12048375;CDK11A
feature 460275;cg22348992;CHRNA4
feature 247285;cg13775295;COL5A1
feature 99833;cg05652551;PLS1
feature 67064;cg23302570;NXPH2
feature 17916;cg00014900;DPH2
feature 132607;cg16268429;NADK2
feature 443899;cg19747604;CCDC8
feature 165372;cg18281824;DXO
feature 67075;cg21559154;null
feature 83459;cg19769521;IQSEC1
feature 181766;cg06293369;ARFGEF3
feature 443905;cg03576469;CCDC8
feature 214532;cg16810272;null
feature 329229;cg08003353;null
feature 116233;cg18903398;null
feature 411151;cg27180671;PITPNC1
feature 329228;cg04079399;null
feature 329226;cg14822546;null
feature 230931;cg16099476;PDP1
feature 394775;cg22975671;BCL6B
feature 214551;cg02148324;ABCF2
feature 198166;cg22460204;POU6F2
feature 83481;cg13878677;IQSEC1
feature 198171;cg02582587;POU6F2
feature 460318;cg27218892;KCNQ2
feature 362012;cg13048962;SNAPC5
feature 329246;cg01411823;MEDAG
feature 460312;cg21959912;null
feature 460327;cg16822191;KCNQ2
feature 476708;cg06691299;CDK16
feature 214571;cg12616484;CHPF2
feature 460335;cg09258315;KCNQ2
feature 198185;cg19113326;POU6F2
feature 263726;cg09542745;SFRP5
feature 34348;cg09330427;MGST3
feature 165423;cg13197078;null
feature 460329;cg09117405;KCNQ2
feature 443945;cg03969996;PNMAL2
feature 329258;cg00632070;TEX26
feature 362039;cg15166050;LCTL
feature 214577;cg12926839;CHPF2
feature 214576;cg18476993;null
feature 34356;cg09553581;MGST3
feature 99892;cg00970325;PAQR9
feature 247355;cg21175174;OLFM1
feature 34361;cg19778201;ALDH9A1
feature 427578;cg05366983;SPPL2B
feature 214589;cg06956613;SMARCD3
feature 17983;cg18937321;SLC6A9
feature 181824;cg24324628;NHSL1
feature 280128;cg07013799;KCNJ11
feature 329280;cg04506928;null
feature 427587;cg01571977;SPPL2B
feature 1606;cg19083977;null
feature 181829;cg26287741;NHSL1
feature 198216;cg27071152;LOC646999
feature 198223;cg11621667;RALA
feature 214607;cg19902439;SMARCD3
feature 181836;cg02705163;NHSL1
feature 34382;cg25310909;TMCO1
feature 230989;cg26427135;GEM
feature 312918;cg06074958;NACA
feature 18011;cg12608881;KLF17
feature 280155;cg11981631;ABCC8
feature 296550;cg13225881;DDX10
feature 345702;cg19937979;null
feature 198246;cg26260033;LINC00265
feature 132713;cg08345179;C5orf42
feature 460395;cg26186239;EEF1A2
feature 427626;cg08569517;TMPRSS9
feature 427627;cg07418971;TMPRSS9
feature 394859;cg20752878;ASGR1
feature 427624;cg16170346;TMPRSS9
feature 460392;cg12352038;null
feature 444009;cg19815574;DACT3
feature 165485;cg13739666;TNXB
feature 345713;cg05244236;null
feature 263805;cg08969532;CRTAC1
feature 198265;cg25193384;null
feature 50812;cg07789367;GDF7
feature 149117;cg21584251;null
feature 296580;cg07142201;C11orf87
feature 50817;cg14780466;GDF7
feature 444039;cg10779826;PRKD2
feature 34434;cg17940268;MIR921
feature 378496;cg27267227;SEZ6L2
feature 231044;cg06699564;null
feature 34440;cg25194322;FAM78B
feature 50824;cg00011239;null
feature 198281;cg24395307;CDK13
feature 99981;cg21137773;C3orf58
feature 263830;cg06821075;R3HCC1L
feature 312977;cg03523104;ZBTB39
feature 99991;cg25722274;C3orf58
feature 427679;cg21455939;null
feature 214682;cg07078452;WDR86
feature 214687;cg09446247;WDR86
feature 83612;cg07582862;null
feature 460441;cg21484834;PTK6
feature 460440;cg13520525;PTK6
feature 231073;cg11372006;DPY19L4
feature 329376;cg22593432;null
feature 362144;cg18595228;null
feature 296617;cg01195135;ZC3H12C
feature 329387;cg16941656;FRY
feature 181933;cg05905568;null
feature 280244;cg19947104;KCNC1
feature 116403;cg03031383;TMPRSS11E
feature 394933;cg23938329;DVL2
feature 116404;cg17631424;TMPRSS11E
feature 50871;cg24935556;null
feature 444095;cg18762674;SLC1A5
feature 263869;cg26712743;PYROXD2
feature 67259;cg14807945;ZEB2
feature 67258;cg06063479;ZEB2
feature 280255;cg26703758;KCNC1
feature 444100;cg12165685;SLC1A5
feature 313025;cg04207741;NAB2
feature 444096;cg22304262;SLC1A5
feature 165572;cg03216698;TNXB
feature 263884;cg19368383;HPS1
feature 67277;cg23095192;ZEB2
feature 50892;cg00865690;null
feature 34512;cg10508760;null
feature 362198;cg27130493;SMAD3
feature 34518;cg25147376;ILDR2
feature 1750;cg03950120;CFAP74
feature 116439;cg03498559;UGT2B4
feature 83671;cg24202522;null
feature 50910;cg01659038;null
feature 280295;cg04167854;SERGEF
feature 296679;cg10581012;null
feature 50916;cg25432792;null
feature 345826;cg16024377;SMOC1
feature 247535;cg00820961;KCNT1
feature 296681;cg24500630;null
feature 231159;cg01466771;PLEKHF2
feature 313072;cg09150519;LRP1
feature 67319;cg04948016;null
feature 263932;cg09511126;HPSE2
feature 345855;cg20267521;SLC8A3
feature 296702;cg08012199;ARHGAP20
feature 362233;cg00718923;SMAD3
feature 444152;cg07476924;ARHGAP35
feature 296708;cg03176810;null
feature 329476;cg11630632;N4BP2L2
feature 214784;cg19412964;PRKAG2
feature 329478;cg24343594;null
feature 132865;cg25224048;null
feature 214791;cg11344729;PRKAG2
feature 198406;cg11354266;INHBA-AS1
feature 132868;cg04479876;LIFR
feature 460559;cg15559186;STMN3
feature 182026;cg23017002;null
feature 83723;cg09396181;WNT7A
feature 132876;cg06182018;LIFR
feature 198412;cg04512129;null
feature 247571;cg13473691;KCNT1
feature 50966;cg00854172;KLHL29
feature 329501;cg11668133;null
feature 214808;cg21463518;PRKAG2
feature 280351;cg21033675;MRGPRX4
feature 50974;cg19093939;KLHL29
feature 83743;cg15060599;null
feature 83744;cg23715830;null
feature 83749;cg23013114;TPRXL
feature 198437;cg11364256;GLI3
feature 165668;cg23339482;TNXB
feature 132907;cg22588983;null
feature 100136;cg05635730;null
feature 296751;cg23698140;COLCA1
feature 149294;cg24655336;GPRIN1
feature 411435;cg01517431;ABCA9
feature 100143;cg06181508;null
feature 50993;cg26109017;KLHL29
feature 296758;cg15081566;COLCA1
feature 329520;cg02441765;KL
feature 476977;cg23948362;SLC38A5
feature 34615;cg27532130;POU2F1
feature 411455;cg06127577;ABCA5
feature 116538;cg03173722;RUFY3
feature 34621;cg21161394;CD247
feature 51008;cg02531431;KLHL29
feature 51010;cg26821721;KLHL29
feature 34626;cg11958495;CD247
feature 362311;cg09469610;null
feature 100162;cg27416372;ZIC4
feature 378689;cg06444125;TBX6
feature 329536;cg17181336;STARD13
feature 100166;cg07850418;ZIC4
feature 149322;cg00998784;null
feature 296781;cg18316498;POU2AF1
feature 477005;cg09863225;FTSJ1
feature 100173;cg17003736;ZIC4
feature 165710;cg27073361;TNXB
feature 100172;cg00154357;ZIC4
feature 18254;cg22129241;SNORD38A
feature 149331;cg01382414;SNCB
feature 182102;cg08109815;NMBR
feature 100183;cg05855917;ZIC4
feature 182101;cg07598952;NMBR
feature 67414;ch.2.148139564F;null
feature 100185;cg12892506;ZIC4
feature 477020;cg15841434;PORCN
feature 67420;cg02392064;null
feature 51040;cg18305444;KLHL29
feature 198499;cg07191743;GLI3
feature 182115;cg02013961;VTA1
feature 116579;cg02336128;DCK
feature 34658;cg12396057;null
feature 362343;cg24880701;SKOR1
feature 460641;cg12413156;LIME1
feature 329570;cg12939797;STARD13
feature 427886;cg18253787;SGTA
feature 100201;cg24620761;ZIC4
feature 395118;cg19039291;NEURL4
feature 165737;cg14037463;TNXB
feature 1900;cg05463656;PRKCZ
feature 362345;cg11601252;SKOR1
feature 296809;cg21881253;null
feature 444264;cg20652235;null
feature 100206;cg21127068;ZIC4
feature 427895;cg23375247;SGTA
feature 214898;cg26407811;PRKAG2
feature 214897;cg00491428;PRKAG2
feature 296818;cg17190685;C11orf88
feature 231288;cg13461821;PTDSS1
feature 296831;cg02871995;LAYN
feature 1915;cg11758127;PRKCZ
feature 34685;cg18800085;RCSD1
feature 1918;cg16269144;PRKCZ
feature 264059;cg13754259;NKX2-3
feature 34687;cg25765104;RCSD1
feature 100222;cg08855449;ZIC1
feature 477048;cg23991947;TBC1D25
feature 411526;cg11310812;KCNJ16
feature 116613;cg11363527;SLC4A4
feature 18310;cg06766016;BTBD19
feature 198538;cg17399143;null
feature 100235;cg14456683;ZIC1
feature 182153;cg22751954;null
feature 231310;cg22404290;null
feature 18318;cg00329697;PTCH2
feature 362389;cg19722326;null
feature 182170;cg21489622;HIVEP2
feature 231323;cg14538332;SDC2
feature 34712;cg05005425;null
feature 346013;cg15910301;null
feature 362396;cg15107368;null
feature 133027;cg21236090;null
feature 296871;cg03723716;PPP2R1B
feature 427939;cg04373657;THOP1
feature 149418;cg19488804;null
feature 165800;cg10303653;TNXB
feature 100267;cg18956933;null
feature 133042;cg08164315;PTGER4
feature 149424;cg19954978;null
feature 329649;cg21312482;RFC3
feature 100281;cg26021960;null
feature 247738;cg13641713;null
feature 427964;cg15229323;ZNF554
feature 165817;cg07717083;TNXB
feature 149433;cg03320873;UNC5A
feature 395195;cg13775913;PLSCR3
feature 83915;cg22991512;null
feature 460747;cg10797920;TPD52L2
feature 67535;cg10664112;KIF5C
feature 296907;cg07666098;ALG9
feature 67537;cg06118384;KIF5C
feature 378837;cg00711896;ZNF48
feature 214995;cg19258062;FABP5P3
feature 346069;cg06721998;SIPA1L1
feature 2002;cg09322616;PRKCZ
feature 395220;cg15660077;NLGN2
feature 165849;cg07810190;TNXB
feature 362456;cg09272869;FEM1B
feature 247773;cg00522018;LHX3
feature 427993;cg07805221;ZNF556
feature 116705;cg06976977;COX18
feature 411622;cg16014725;null
feature 395235;cg25617307;NLGN2
feature 428000;cg07504200;null
feature 100326;cg13528513;AGTR1
feature 411631;cg21000227;null
feature 378863;cg07052606;DCTPP1
feature 395245;cg08568447;C17orf74
feature 18411;cg13951491;HPDL
feature 2030;cg15481172;PRKCZ
feature 182259;cg12306853;FUCA2
feature 51187;cg01343041;FAM228A
feature 231416;cg13170640;null
feature 198655;cg04217380;HECW1
feature 83964;cg02643782;null
feature 83967;cg22601300;null
feature 67582;cg26275373;null
feature 133117;cg09527301;CARD6
feature 51200;cg04142144;ITSN2
feature 83971;cg04943612;FGD5
feature 280576;cg09346831;MRGPRX1
feature 198663;cg10835986;HECW1
feature 215046;cg11096640;ACTR3B
feature 133125;cg16453474;C7
feature 411661;cg22760037;null
feature 215053;cg18307966;ACTR3B
feature 329738;cg06531158;null
feature 116752;cg00224911;RASSF6
feature 411668;cg25753722;null
feature 133137;cg11976616;C6
feature 67607;cg09044290;LYPD6
feature 264211;cg03679755;null
feature 116758;cg10539274;RASSF6
feature 34840;cg03848065;null
feature 444447;cg11645532;GLTSCR1
feature 460824;cg03513312;UCKL1
feature 83998;cg04517010;NR2C2
feature 165922;cg00779476;TNXB
feature 444452;cg01544805;GLTSCR1
feature 116775;cg10728756;CXCL6
feature 51241;cg11380327;null
feature 346155;cg13588403;DPF3
feature 411688;cg07994435;null
feature 395312;cg13446533;ZBTB4
feature 182324;cg05341786;PHACTR2
feature 378943;cg04351258;ZNF764
feature 395324;cg27579313;ZBTB4
feature 51260;cg26114003;CENPO
feature 264248;cg14781374;CWF19L1
feature 362552;cg03180768;CORO2B
feature 51261;cg23538226;CENPO
feature 313409;cg00331508;ARHGEF25
feature 362573;cg25139636;ANP32A
feature 67657;cg17730764;RND3
feature 149579;cg18121224;NSD1
feature 149577;cg19731612;NSD1
feature 231507;cg12861602;MATN2
feature 411732;cg27248029;SLC39A11
feature 378966;cg01017926;ZNF688
feature 477266;cg02573613;OTUD5
feature 198740;cg00221658;null
feature 51292;cg09505516;ADCY3
feature 34912;ch.1.3307476R;ATP1B1
feature 18533;cg03335125;CCDC17
feature 395360;cg21778328;POLR2A
feature 34919;cg14287742;BLZF1
feature 362605;cg26735215;ANP32A
feature 231530;cg19995049;RPL30
feature 428140;cg18505103;GNA11
feature 215155;cg22620221;DPP6
feature 84080;cg24146408;SH3BP5
feature 149623;cg08076617;MXD3
feature 247931;cg14119001;INPP5E
feature 428159;cg10022788;GNA15
feature 198777;cg00413870;SPDYE1
feature 166015;cg26939195;TNXB
feature 215166;cg16251205;DPP6
feature 133244;cg00394261;GHR
feature 395398;cg08090557;TNFSF13
feature 67715;cg25011627;null
feature 34949;cg24808280;CCDC181
feature 215173;cg25502399;DPP6
feature 428160;cg07865607;GNA15
feature 51337;cg05060711;EFR3B
feature 67720;cg23718633;RBM43
feature 247945;cg14024579;INPP5E
feature 100490;cg19483007;WWTR1
feature 149644;cg11105358;null
feature 18574;cg17156633;IPP
feature 166035;cg25265360;null
feature 395408;cg13800049;SENP3
feature 215195;cg00471857;DPP6
feature 182425;cg03691020;SF3B5
feature 477340;cg05858130;PRAF2
feature 379044;cg06568038;null
feature 264358;cg20831708;SEC31B
feature 444578;cg10339593;SNAR-C4
feature 411808;cg08870588;C17orf80
feature 51368;cg06846259;POMC
feature 34986;cg01952742;SELP
feature 411821;cg23890832;CDC42EP4
feature 182446;cg04281069;STX11
feature 264361;cg26458072;SEC31B
feature 100524;cg09638944;null
feature 166063;cg10089357;ATF6B
feature 444587;cg19404979;ELSPBP1
feature 379050;cg04232972;null
feature 116912;cg22039724;null
feature 444599;cg12986110;PLA2G4C
feature 51381;cg13025668;POMC
feature 84150;cg21634628;BTD
feature 166074;cg04136321;ATF6B
feature 460988;cg15824741;OPRL1
feature 133310;cg11403027;null
feature 67772;cg26639076;RIF1
feature 346296;cg21885107;PAPLN
feature 231613;cg02143496;KCNS2
feature 198849;cg16073408;null
feature 264390;cg18133905;HIF1AN
feature 51396;cg02757970;null
feature 411843;cg20113012;CDC42EP4
feature 2245;cg04934870;SKI
feature 35016;cg21909475;METTL18
feature 215242;cg24311564;DPP6
feature 133320;cg07137955;null
feature 411853;cg00711291;SDK2
feature 411848;cg02447638;null
feature 215244;cg11300568;DPP6
feature 379093;cg01792666;SRCAP
feature 133331;cg24676817;null
feature 264405;cg12033288;null
feature 133328;cg23942974;null
feature 411860;cg21210496;SDK2
feature 461012;cg21406518;MYT1
feature 198864;cg12978582;AEBP1
feature 280784;cg12711760;NAV2
feature 116949;cg00035945;PARM1
feature 329936;cg17157462;SERTM1
feature 2261;cg12483545;SKI
feature 215253;cg17006281;DPP6
feature 411857;cg06061257;SDK2
feature 149720;cg00642460;PFN3
feature 100571;cg08828664;PFN2
feature 280798;cg17526229;null
feature 149721;cg20095656;PFN3
feature 2267;cg26566407;SKI
feature 35037;cg08245509;SCYL3
feature 248028;cg14479303;NOTCH1
feature 461016;cg12828073;MYT1
feature 329946;cg10341152;RFXAP
feature 444646;cg19477346;null
feature 248034;cg14488715;NOTCH1
feature 35043;cg17464228;null
feature 2276;cg05948763;SKI
feature 248039;cg14114284;NOTCH1
feature 280800;cg09767822;DBX1
feature 35044;cg22483175;KIFAP3
feature 248038;cg00184461;NOTCH1
feature 231652;cg01172183;null
feature 477423;cg02971064;MAGIX
feature 35049;cg10753582;KIFAP3
feature 428271;cg21765032;null
feature 280815;cg02878244;DBX1
feature 280811;cg13445796;DBX1
feature 100590;cg00880682;null
feature 264427;cg08729031;null
feature 477416;cg14306994;MAGIX
feature 84210;cg19934111;null
feature 215280;cg14985548;null
feature 133364;cg05975410;null
feature 264445;cg13587477;null
feature 280829;cg16526416;null
feature 100603;cg05684266;null
feature 149753;cg01577865;GRK6
feature 477436;cg18503052;PLP2
feature 329979;cg05644498;SMAD9
feature 379140;cg01369689;RNF40
feature 477443;cg07210835;PLP2
feature 2310;cg01938025;SKI
feature 461056;cg02317018;PCMTD2
feature 51463;cg17137500;DNMT3A
feature 231691;cg05754861;OSR2
feature 231688;cg14548272;OSR2
feature 280840;cg23890008;null
feature 428299;cg00431565;NFIC
feature 313620;cg14920696;METTL1
feature 133395;cg17269733;ANXA2R
feature 51475;cg15990840;DNMT3A
feature 477459;cg26950400;PRICKLE3
feature 395539;cg18198734;TP53
feature 362771;cg12449813;DRAIC
feature 215317;cg03962217;PAXIP1-AS1
feature 67869;cg03999932;FMNL2
feature 428314;cg03605666;NFIC
feature 166174;cg08505243;null
feature 2335;cg01445240;SKI
feature 35105;cg03350186;PRRX1
feature 166183;cg18243760;PRRT1
feature 51494;cg15575641;null
feature 18727;cg02573121;NSUN4
feature 297260;cg26644052;null
feature 248107;cg14568196;null
feature 395567;cg15206330;TP53
feature 264494;cg10022914;null
feature 477485;cg04437194;CACNA1F
feature 67883;cg22923154;FMNL2
feature 395565;cg02166782;TP53
feature 297268;cg05183271;TMPRSS5
feature 166194;cg04630292;PRRT1
feature 297269;cg23871994;TMPRSS5
feature 18739;cg06911238;FAAH
feature 215344;cg06292312;null
feature 297271;cg11067407;null
feature 35125;cg19716950;PRRX1
feature 198966;cg01028287;CAMK2B
feature 231732;cg17117823;VPS13B
feature 297267;cg25460340;TMPRSS5
feature 313661;cg03228931;CTDSP2
feature 411962;cg22191696;null
feature 100668;cg08222081;SERP1
feature 411960;cg17406383;null
feature 149826;cg07034563;PDLIM7
feature 166208;cg15194163;PRRT1
feature 428357;cg02859421;null
feature 444739;cg01044695;KDELR1
feature 231749;cg13615027;VPS13B
feature 215364;cg02388319;null
feature 166216;cg22268510;PRRT1
feature 18762;cg14258341;null
feature 461131;cg05349828;null
feature 231759;cg04446447;COX6C
feature 182604;cg08958294;GRM1
feature 100686;cg22177364;SELT
feature 35153;cg12437809;FMO2
feature 461138;cg04821026;null
feature 182618;cg09423283;GRM1
feature 18776;cg13941305;null
feature 346461;cg23367119;ELMSAN1
feature 280926;cg00007644;SLC6A5
feature 51547;cg25410321;ASXL2
feature 2397;cg22718169;MORN1
feature 313690;cg04792034;null
feature 477528;cg15958715;PPP1R3F
feature 231779;cg20219381;RGS22
feature 477543;cg03928924;GAGE12J
feature 35169;cg11192688;FMO1
feature 215398;cg07491203;INSIG1
feature 362863;cg10381071;TLE3
